# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 50
45 2.225 1.06761 36.2308
46 2.275 1.04446 38.8311
47 2.325 1.00239 41.4375
48 2.375 0.971681 44.0739
49 2.425 0.955813 46.7776
50 2.475 0.935118 49.533
28000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0288964 0.0106445
19 0.925 0.428905 0.187207
20 0.975 1.38428 0.820312
21 1.025 2.06652 1.86484
22 1.075 2.17547 3.07432
23 1.125 1.94023 4.25566
24 1.175 1.63852 5.34395
25 1.225 1.36439 6.32891
26 1.275 1.18244 7.25361
27 1.325 1.03165 8.1249
28 1.375 0.91461 8.95674
29 1.425 0.842962 9.78018
30 1.475 0.791265 10.6083
31 1.525 0.761795 11.4605
32 1.575 0.763383 12.3715
33 1.625 0.764413 13.3425
34 1.675 0.790517 14.4094
35 1.725 0.829615 15.5969
36 1.775 0.890629 16.9467
37 1.825 0.940878 18.4541
38 1.875 0.99693 20.14
39 1.925 1.06437 22.0373
40 1.975 1.10469 24.1101
41 2.025 1.14741 26.3733
42 2.075 1.13974 28.7339
43 2.125 1.14056 31.2113
44 2.175 1.10795 33.7325
45 2.225 1.06019 36.2572
46 2.275 1.04246 38.8525
47 2.325 1.00408 41.4634
48 2.375 0.971213 44.0985
49 2.425 0.948494 46.7815
50 2.475 0.931075 49.525
29000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0299568 0.0110352
19 0.925 0.43697 0.190918
20 0.975 1.38172 0.822852
21 1.025 2.05029 1.85918
22 1.075 2.17757 3.06982
23 1.125 1.91954 4.23857
24 1.175 1.65704 5.33916
25 1.225 1.36033 6.32119
26 1.275 1.16359 7.23115
27 1.325 1.04633 8.11484
28 1.375 0.933508 8.96387
29 1.425 0.838263 9.78271
30 1.475 0.797423 10.6173
31 1.525 0.759874 11.4674
32 1.575 0.762974 12.3778
33 1.625 0.763029 13.3471
34 1.675 0.793773 14.4184
35 1.725 0.833162 15.6109
36 1.775 0.882833 16.9489
37 1.825 0.930943 18.4404
38 1.875 1.00328 20.1371
39 1.925 1.06574 22.0368
40 1.975 1.11755 24.1337
41 2.025 1.12805 26.3588
42 2.075 1.14521 28.7307
43 2.125 1.13215 31.1898
44 2.175 1.10524 33.7049
45 2.225 1.06007 36.2293
46 2.275 1.03352 38.8023
47 2.325 1.00126 41.4059
48 2.375 0.970385 44.0388
49 2.425 0.956779 46.7452
