DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (42.08 42.08 42.08)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2048 atoms
  read_data CPU = 0.031 seconds
2048 atoms in group Ar
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 31 31 31
  2 neighbor lists, perpetual/occasional/extra = 1 1 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
  (2) compute rdf, occasional, copy from (1)
      attributes: half, newton on
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.287 | 3.287 | 3.287 Mbytes
   Step          Temp          Press          Volume         TotEng    
     16600   1.9435164      4.844393       2668.4463     -1.3228495    
     16700   1.9219963      4.8390736      2677.8757     -1.3296047    
     16800   1.96962        5.1662881      2661.3009     -1.24782      
     16900   2.0518159      4.7284622      2669.8634     -1.2067316    
     17000   2.0167818      4.9828268      2682.3327     -1.179193     
     17100   2.0314214      5.2970846      2669.8055     -1.1067398    
     17200   1.9840133      4.9879114      2701.9507     -1.158175     
     17300   2.0509737      5.3322611      2664.8735     -1.0793194    
     17400   1.9370801      4.8618469      2708.3608     -1.2176642    
     17500   1.9948692      5.0402426      2681.0175     -1.1866254    
     17600   2.0558374      4.8975406      2665.6431     -1.1830669    
     17700   1.9387373      5.0315881      2680.7807     -1.2518436    
     17800   1.9770365      5.2102655      2658.3581     -1.2256046    
     17900   1.9706516      4.8259878      2678.7397     -1.2882304    
     18000   2.006065       4.9778334      2660.0526     -1.2362241    
     18100   1.9681255      4.8812349      2679.0319     -1.2571644    
     18200   1.9959108      4.9985731      2675.119      -1.2157543    
     18300   2.0225771      5.058903       2675.2966     -1.1759619    
     18400   1.9749122      5.1559176      2687.287      -1.1557093    
     18500   2.0008379      4.9136596      2703.5759     -1.1478025    
     18600   2.0431903      5.1443615      2684.9606     -1.0790231    
     18700   2.0644849      4.863899       2693.6471     -1.0996348    
     18800   1.992976       5.0903642      2695.2767     -1.134345     
     18900   2.0272505      5.0389057      2677.9064     -1.1473237    
     19000   2.0272424      4.8150085      2677.6914     -1.2098771    
     19100   1.9838597      4.9882556      2669.4442     -1.2518875    
     19200   1.9877592      4.659191       2670.7566     -1.3098049    
     19300   2.0090188      5.0666417      2639.7299     -1.2721767    
     19400   1.9029209      5.2875375      2658.862      -1.3275747    
     19500   1.9747363      4.8271039      2662.2508     -1.311081     
     19600   1.9643604      5.0212543      2664.8218     -1.2699698    
     19700   2.0224336      5.3602991      2649.1027     -1.1671407    
     19800   1.9594387      5.0070649      2693.1388     -1.2040135    
     19900   2.0070772      4.8505525      2699.0004     -1.1612991    
     20000   2.0279936      5.4270195      2673.9246     -1.0676478    
Loop time of 76.4369 on 1 procs for 20000 steps with 2048 atoms

Performance: 113034.449 tau/day, 261.654 timesteps/s, 535.867 katom-step/s
99.9% CPU use with 1 MPI tasks x 1 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 46.856     | 46.856     | 46.856     |   0.0 | 61.30
Neigh   | 23.581     | 23.581     | 23.581     |   0.0 | 30.85
Comm    | 1.6385     | 1.6385     | 1.6385     |   0.0 |  2.14
Output  | 0.0053667  | 0.0053667  | 0.0053667  |   0.0 |  0.01
Modify  | 3.7703     | 3.7703     | 3.7703     |   0.0 |  4.93
Other   |            | 0.5858     |            |       |  0.77

Nlocal:           2048 ave        2048 max        2048 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:           3648 ave        3648 max        3648 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:          70752 ave       70752 max       70752 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 70752
Ave neighs/atom = 34.546875
Neighbor list builds = 4006
Dangerous builds = 71
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 20000
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.74 | 3.74 | 3.74 Mbytes
   Step          Temp          Press          Volume         TotEng    
     20000   2.0279936      5.4270195      2673.9246     -1.0676478    
     20100   2.0896358      5.0552014      2673.9246     -1.0682349    
     20200   2.044511       5.3211216      2673.9246     -1.0670152    
     20300   2.0635453      5.2259035      2673.9246     -1.0668635    
     20400   2.0600485      5.2771422      2673.9246     -1.0676889    
     20500   2.0738396      5.1667795      2673.9246     -1.0675859    
     20600   2.0399908      5.3814219      2673.9246     -1.0677381    
     20700   2.0580068      5.246411       2673.9246     -1.0673119    
     20800   2.0933077      5.083805       2673.9246     -1.0668676    
     20900   2.0758351      5.1900534      2673.9246     -1.0660445    
     21000   2.0720341      5.1289125      2673.9246     -1.068339     
     21100   2.0704149      5.1840675      2673.9246     -1.0671759    
     21200   2.0923065      5.0574874      2673.9246     -1.068935     
     21300   2.0484246      5.3098552      2673.9246     -1.0674893    
     21400   2.0871333      5.1160221      2673.9246     -1.067674     
     21500   2.0628365      5.2410719      2673.9246     -1.0677838    
     21600   2.0528995      5.3541678      2673.9246     -1.0674257    
     21700   2.0536771      5.280711       2673.9246     -1.0680951    
     21800   2.0329679      5.4085905      2673.9246     -1.0683733    
     21900   2.0702136      5.0976802      2673.9246     -1.0682377    
     22000   2.0700326      5.1215038      2673.9246     -1.0681379    
     22100   2.0810736      5.1382318      2673.9246     -1.0680963    
     22200   2.0719273      5.1362397      2673.9246     -1.0675176    
     22300   2.1128013      4.9324238      2673.9246     -1.0682605    
     22400   2.0463991      5.380077       2673.9246     -1.0686313    
     22500   2.0465451      5.2889609      2673.9246     -1.0681578    
     22600   2.0843514      5.1155137      2673.9246     -1.0691284    
     22700   2.1111277      4.977295       2673.9246     -1.0672055    
     22800   2.0779761      5.1595619      2673.9246     -1.0677758    
     22900   2.0736933      5.256513       2673.9246     -1.0681608    
     23000   2.061357       5.282725       2673.9246     -1.0680853    
     23100   2.0598669      5.1486499      2673.9246     -1.0677973    
     23200   2.0735771      5.2142069      2673.9246     -1.0680326    
     23300   2.0720344      5.1896888      2673.9246     -1.0674862    
     23400   2.0460613      5.3460358      2673.9246     -1.0679419    
     23500   2.0561929      5.3200091      2673.9246     -1.0670037    
     23600   2.0991758      5.1016595      2673.9246     -1.0680578    
     23700   2.0710457      5.1335035      2673.9246     -1.0680715    
     23800   2.0658727      5.274521       2673.9246     -1.0669684    
     23900   2.0886629      5.072862       2673.9246     -1.0677842    
     24000   2.0628824      5.2059603      2673.9246     -1.0669729    
     24100   2.0514868      5.204142       2673.9246     -1.0678822    
     24200   2.0663117      5.275541       2673.9246     -1.0664535    
     24300   2.0744446      5.1332419      2673.9246     -1.0675035    
     24400   2.059107       5.1718042      2673.9246     -1.068246     
     24500   2.0520887      5.316261       2673.9246     -1.0669423    
     24600   2.0706181      5.1980948      2673.9246     -1.0673526    
     24700   2.0993981      5.0529125      2673.9246     -1.0679149    
     24800   2.0722128      5.2121893      2673.9246     -1.0675842    
     24900   2.0942304      5.0779217      2673.9246     -1.0683838    
     25000   2.0231017      5.491276       2673.9246     -1.0676224    
     25100   2.079658       5.1284148      2673.9246     -1.0676475    
     25200   2.0661562      5.1973421      2673.9246     -1.067483     
     25300   2.0612366      5.2076298      2673.9246     -1.0673863    
     25400   2.0886576      5.0655183      2673.9246     -1.0678775    
     25500   2.0843028      5.055927       2673.9246     -1.0689388    
     25600   2.0674047      5.1629949      2673.9246     -1.067733     
     25700   2.0892579      5.0303836      2673.9246     -1.0687724    
     25800   2.0487064      5.3505503      2673.9246     -1.0667584    
     25900   2.056019       5.2610988      2673.9246     -1.0670965    
     26000   2.0313177      5.4322158      2673.9246     -1.0682991    
     26100   2.0508365      5.3039256      2673.9246     -1.0679278    
     26200   2.0768727      5.1993752      2673.9246     -1.0681922    
     26300   2.0603545      5.2464414      2673.9246     -1.0675127    
     26400   2.0471082      5.2835468      2673.9246     -1.0679626    
     26500   2.0843131      5.1033024      2673.9246     -1.0681072    
