# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
50100 100
67 3.192 0.630801 2.0625 1.81109 5.0875 0.147844 6.2125
68 3.24 0.918374 2.1375 1.47083 5.34375 0.322866 6.325
69 3.288 0.297252 2.1625 0.870855 5.5 0.627016 6.55
70 3.336 0.721899 2.225 1.18437 5.71875 1.03209 6.93125
71 3.384 1.26282 2.3375 0.624832 5.8375 1.01946 7.31875
72 3.432 0.136416 2.35 0.319724 5.9 1.18298 7.78125
73 3.48 0.265357 2.375 0.124386 5.925 1.47709 8.375
74 3.528 0 2.375 0.0907684 5.94375 1.36153 8.9375
75 3.576 0 2.375 0.0883481 5.9625 1.60499 9.61875
76 3.624 0 2.375 0.200721 6.00625 1.20433 10.1438
77 3.672 0 2.375 0.083789 6.025 1.36855 10.7562
78 3.72 0 2.375 0.190495 6.06875 1.27904 11.3438
79 3.768 0 2.375 0.265247 6.13125 1.11404 11.8688
80 3.816 0 2.375 0.49137 6.25 0.98274 12.3438
81 3.864 0 2.375 0.655799 6.4125 0.74408 12.7125
82 3.912 0 2.375 0.959707 6.65625 0.578285 13.0062
83 3.96 0 2.375 1.17673 6.9625 0.600374 13.3187
84 4.008 0 2.375 1.71135 7.41875 0.433699 13.55
85 4.056 0 2.375 1.85422 7.925 0.526507 13.8375
86 4.104 0 2.375 2.12413 8.51875 0.469545 14.1
87 4.152 0 2.375 1.79131 9.03125 0.655359 14.475
88 4.2 0 2.375 2.00679 9.61875 0.789907 14.9375
89 4.248 0 2.375 1.64866 10.1125 0.91824 15.4875
90 4.296 0 2.375 1.40797 10.5437 1.05088 16.1313
91 4.344 0 2.375 1.05772 10.875 1.42692 17.025
92 4.392 0 2.375 0.995677 11.1937 1.60089 18.05
93 4.44 0 2.375 0.70682 11.425 1.99629 19.3562
94 4.488 0.0797731 2.3875 0.635692 11.6375 2.29971 20.8938
95 4.536 0.312375 2.4375 0.530793 11.8187 2.80039 22.8062
96 4.584 0.382334 2.5 0.483891 11.9875 2.48218 24.5375
97 4.632 0.524232 2.5875 0.596781 12.2 2.27304 26.1562
98 4.68 0.586895 2.6875 0.550214 12.4 2.20945 27.7625
99 4.728 0.646919 2.8 0.741261 12.675 2.10586 29.325
100 4.776 0.845308 2.95 0.990596 13.05 2.08851 30.9062
50300 100
1 0.024 0 0 0 0 0 0
2 0.072 0 0 0 0 0 0
3 0.12 0 0 0 0 0 0
4 0.168 0 0 0 0 0 0
5 0.216 0 0 0 0 0 0
6 0.264 0 0 0 0 0 0
7 0.312 0 0 0 0 0 0
8 0.36 0 0 0 0 0 0
9 0.408 0 0 0 0 0 0
10 0.456 0 0 0 0 0 0
11 0.504 0 0 0 0 0 0
12 0.552 0 0 0 0 0 0
13 0.6 0 0 0 0 0 0
14 0.648 0 0 0 0 0 0
15 0.696 0 0 0 0 0 0
16 0.744 0 0 0 0 0 0
17 0.792 0 0 0 0 0 0
18 0.84 0 0 0 0 0 0
19 0.888 0 0 0 0 0 0
20 0.936 0 0 0 0 0 0
21 0.984 0 0 0 0 0 0
22 1.032 0 0 0 0 0 0
23 1.08 0 0 0 0 0 0
24 1.128 0 0 0 0 0 0
25 1.176 0 0 0 0 0 0
26 1.224 0 0 0 0 0 0
27 1.272 0 0 0 0 0 0
28 1.32 0 0 0 0 0 0
29 1.368 0 0 0 0 0 0
30 1.416 0 0 0 0 0 0
31 1.464 0 0 0 0 0 0
32 1.512 0 0 0 0 0 0
33 1.56 0 0 0 0 0 0
34 1.608 0 0 0 0 0 0
35 1.656 0 0 0 0 0 0
36 1.704 0 0 0 0 0 0
37 1.752 0 0 0 0 0.122682 0.0125
38 1.8 0 0 0 0 0.406794 0.05625
39 1.848 0 0 0 0 1.37835 0.2125
40 1.896 0 0 0 0 3.19505 0.59375
41 1.944 0 0 0 0 5.28127 1.25625
42 1.992 0 0 0 0 5.6467 2
43 2.04 0 0 0 0 5.24838 2.725
44 2.088 0 0 0 0 6.30551 3.6375
45 2.136 0 0 0 0 3.17773 4.11875
46 2.184 0 0 0 0 2.48694 4.5125
47 2.232 0 0 0 0 2.94806 5
48 2.28 0 0 0 0 1.34018 5.23125
49 2.328 0 0 0 0 1.14652 5.4375
50 2.376 0.284615 0.0125 0.133413 0.0125 1.10066 5.64375
51 2.424 0.546911 0.0375 0.256365 0.0375 0.640911 5.76875
52 2.472 0.525879 0.0625 0 0.0375 0.338945 5.8375
53 2.52 1.51811 0.1375 0.237205 0.0625 0.296506 5.9
54 2.568 3.41108 0.3125 0.34263 0.1 0.142763 5.93125
55 2.616 2.81747 0.4625 0.330173 0.1375 0.110058 5.95625
56 2.664 3.84888 0.675 1.00821 0.25625 0.0795955 5.975
57 2.712 3.27693 0.8625 1.99688 0.5 0 5.975
58 2.76 3.16394 1.05 2.0269 0.75625 0.0247183 5.98125
59 2.808 2.44536 1.2 3.39102 1.2 0.0477609 5.99375
60 2.856 1.77289 1.3125 2.95482 1.6 0 5.99375
61 2.904 2.09583 1.45 3.75106 2.125 0.0223277 6
62 2.952 2.02823 1.5875 3.58685 2.64375 0 6
63 3 0.892656 1.65 5.18857 3.41875 0.0209216 6.00625
64 3.048 2.07543 1.8 4.45894 4.10625 0 6.00625
65 3.096 1.34105 1.9 2.98594 4.58125 0.0589329 6.025
66 3.144 1.30042 2 2.85736 5.05 0.247638 6.10625
67 3.192 1.8924 2.15 2.1807 5.41875 0.314168 6.2125
68 3.24 0.153062 2.1625 1.25559 5.6375 0.394614 6.35
69 3.288 0.74313 2.225 0.975358 5.8125 0.592182 6.5625
70 3.336 0.28876 2.25 0.439907 5.89375 0.761378 6.84375
71 3.384 0.280626 2.275 0.295973 5.95 0.887919 7.18125
72 3.432 0.136416 2.2875 0.0959173 5.96875 1.10305 7.6125
73 3.48 0.265357 2.3125 0.0310965 5.975 1.11948 8.0625
74 3.528 0.258186 2.3375 0.0907684 5.99375 1.52794 8.69375
75 3.576 0.251301 2.3625 0.0294494 6 1.78169 9.45
76 3.624 0 2.3625 0.0573488 6.0125 1.64878 10.1687
77 3.672 0.119167 2.375 0.0279297 6.01875 1.68975 10.925
78 3.72 0 2.375 0.190495 6.0625 1.25182 11.5
79 3.768 0 2.375 0.238722 6.11875 1.1273 12.0312
80 3.816 0 2.375 0.284477 6.1875 0.931017 12.4812
81 3.864 0 2.375 0.655799 6.35 0.693634 12.825
82 3.912 0 2.375 1.10735 6.63125 0.701325 13.1813
83 3.96 0 2.375 1.03264 6.9 0.480299 13.4313
84 4.008 0 2.375 1.96923 7.425 0.410256 13.65
85 4.056 0 2.375 1.78555 7.9125 0.251808 13.7875
86 4.104 0 2.375 2.03469 8.48125 0.346569 13.9812
87 4.152 0 2.375 2.35929 9.15625 0.316757 14.1625
88 4.2 0 2.375 2.07084 9.7625 0.576418 14.5
89 4.248 0 2.375 1.56518 10.2312 0.782591 14.9688
90 4.296 0 2.375 1.30594 10.6312 0.938647 15.5437
91 4.344 0 2.375 0.798276 10.8812 1.25729 16.3313
92 4.392 0 2.375 0.663785 11.0938 1.74732 17.45
93 4.44 0 2.375 0.840543 11.3688 1.93898 18.7188
94 4.488 0.159546 2.4 0.560904 11.5563 2.53342 20.4125
95 4.536 0.234281 2.4375 0.439277 11.7063 2.3062 21.9875
96 4.584 0.458801 2.5125 0.537657 11.8938 2.48218 23.7188
97 4.632 0.449341 2.5875 0.561677 12.0938 3.01024 25.8625
98 4.68 0.220086 2.625 0.481437 12.2688 2.84564 27.9312
99 4.728 0.503159 2.7125 0.741261 12.5437 2.64496 29.8938
100 4.776 0.774866 2.85 0.808986 12.85 2.35266 31.675
50400 100
1 0.024 0 0 0 0 0 0
2 0.072 0 0 0 0 0 0
3 0.12 0 0 0 0 0 0
4 0.168 0 0 0 0 0 0
5 0.216 0 0 0 0 0 0
6 0.264 0 0 0 0 0 0
7 0.312 0 0 0 0 0 0
8 0.36 0 0 0 0 0 0
9 0.408 0 0 0 0 0 0
10 0.456 0 0 0 0 0 0
11 0.504 0 0 0 0 0 0
12 0.552 0 0 0 0 0 0
13 0.6 0 0 0 0 0 0
14 0.648 0 0 0 0 0 0
15 0.696 0 0 0 0 0 0
16 0.744 0 0 0 0 0 0
17 0.792 0 0 0 0 0 0
18 0.84 0 0 0 0 0 0
19 0.888 0 0 0 0 0 0
20 0.936 0 0 0 0 0 0
21 0.984 0 0 0 0 0 0
22 1.032 0 0 0 0 0 0
23 1.08 0 0 0 0 0 0
24 1.128 0 0 0 0 0 0
25 1.176 0 0 0 0 0 0
26 1.224 0 0 0 0 0 0
27 1.272 0 0 0 0 0 0
28 1.32 0 0 0 0 0 0
29 1.368 0 0 0 0 0 0
30 1.416 0 0 0 0 0 0
31 1.464 0 0 0 0 0 0
32 1.512 0 0 0 0 0 0
33 1.56 0 0 0 0 0 0
34 1.608 0 0 0 0 0 0
35 1.656 0 0 0 0 0 0
36 1.704 0 0 0 0 0 0
37 1.752 0 0 0 0 0.0613412 0.00625
38 1.8 0 0 0 0 0.464908 0.05625
39 1.848 0 0 0 0 2.31563 0.31875
40 1.896 0 0 0 0 3.61407 0.75
41 1.944 0 0 0 0 4.13534 1.26875
42 1.992 0 0 0 0 4.55532 1.86875
43 2.04 0 0 0 0 5.20313 2.5875
44 2.088 0 0 0 0 5.35536 3.3625
