# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
50100 100
25 1.176 0 0 0 0 0 0
26 1.224 0 0 0 0 0 0
27 1.272 0 0 0 0 0 0
28 1.32 0 0 0 0 0 0
29 1.368 0 0 0 0 0 0
30 1.416 0 0 0 0 0 0
31 1.464 0 0 0 0 0 0
32 1.512 0 0 0 0 0 0
33 1.56 0 0 0 0 0 0
34 1.608 0 0 0 0 0 0
35 1.656 0 0 0 0 0 0
36 1.704 0 0 0 0 0 0
37 1.752 0 0 0 0 0.0621101 0.00625
38 1.8 0 0 0 0 0.176526 0.025
39 1.848 0 0 0 0 2.95873 0.35625
40 1.896 0 0 0 0 8.69764 1.38125
41 1.944 0 0 0 0 9.93823 2.6125
42 1.992 0 0 0 0 6.87059 3.50625
43 2.04 0 0 0 0 2.61127 3.8625
44 2.088 0 0 0 0 0.699677 3.9625
45 2.136 0 0 0 0 0.208933 3.99375
46 2.184 0 0 0 0 0.0399701 4
47 2.232 0 0 0 0 0 4
48 2.28 0 0 0 0 0 4
49 2.328 0 0 0 0 0 4
50 2.376 0 0 0 0 0 4
51 2.424 0 0 0 0 0 4
52 2.472 0 0 0 0 0 4
53 2.52 0 0 0 0 0 4
54 2.568 0 0 0 0 0 4
55 2.616 0 0 0 0 0 4
56 2.664 0 0 0 0 0 4
57 2.712 0 0 0 0 0 4
58 2.76 0 0 0 0 0 4
59 2.808 0 0 0 0 0 4
60 2.856 0 0 0 0 0 4
61 2.904 0 0 0 0 0 4
62 2.952 0 0 0 0 0 4
63 3 0 0 0 0 0 4
64 3.048 0 0 0 0 0.020522 4.00625
65 3.096 0 0 0.0397811 0.00625 0 4.00625
66 3.144 0 0 0.347182 0.0625 0.0964393 4.0375
67 3.192 0 0 0.748486 0.1875 0.26197 4.125
68 3.24 0 0 1.3803 0.425 0.635664 4.34375
69 3.288 0 0 2.96275 0.95 1.3932 4.8375
70 3.336 0 0 5.34506 1.925 2.07292 5.59375
71 3.384 0.426216 0.0375 7.45878 3.325 3.44635 6.8875
72 3.432 0.828755 0.1125 8.93501 5.05 3.90097 8.39375
73 3.48 2.41815 0.3375 8.81618 6.8 4.17194 10.05
74 3.528 4.83631 0.8 9.06808 8.65 4.05919 11.7063
75 3.576 6.23406 1.4125 7.21608 10.1625 3.83168 13.3125
76 3.624 8.54757 2.275 5.13899 11.2688 2.45336 14.3688
77 3.672 6.75698 2.975 2.0927 11.7312 1.92303 15.2188
78 3.72 5.6432 3.575 0.606203 11.8688 0.978192 15.6625
79 3.768 2.75017 3.875 0.429714 11.9688 0.443143 15.8688
80 3.816 0.893807 3.975 0.0523715 11.9812 0.222579 15.975
81 3.864 0.217935 4 0.0255392 11.9875 0.0255392 15.9875
82 3.912 0 4 0.0249164 11.9938 0.0249164 16
83 3.96 0 4 0.024316 12 0 16
