# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
90 2.2375 1.11745 41.0771
91 2.2625 1.06408 42.5214
92 2.2875 1.02369 43.9417
93 2.3125 0.981925 45.334
94 2.3375 0.949956 46.7102
95 2.3625 0.91053 48.0577
96 2.3875 0.8778 49.3844
97 2.4125 0.863654 50.7172
98 2.4375 0.851171 52.0581
99 2.4625 0.838485 53.4063
100 2.4875 0.827019 54.7631
4000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000478793 0.0001
37 0.9125 0.00294397 0.00075
38 0.9375 0.0519195 0.01285
39 0.9625 0.281501 0.082
40 0.9875 0.86107 0.30465
41 1.0125 1.69977 0.7667
42 1.0375 2.42853 1.45985
43 1.0625 2.88368 2.32305
44 1.0875 2.96708 3.2535
45 1.1125 2.88429 4.20005
46 1.1375 2.59408 5.09005
47 1.1625 2.26143 5.9004
48 1.1875 1.94645 6.6282
49 1.2125 1.68231 7.284
50 1.2375 1.43993 7.8687
51 1.2625 1.26292 8.40245
52 1.2875 1.10275 8.88715
53 1.3125 0.980908 9.3352
54 1.3375 0.887555 9.7562
55 1.3625 0.78682 10.1435
56 1.3875 0.737272 10.5198
57 1.4125 0.693826 10.8869
58 1.4375 0.641431 11.2384
59 1.4625 0.609375 11.5839
60 1.4875 0.600399 11.9362
61 1.5125 0.57882 12.2873
62 1.5375 0.573472 12.6468
63 1.5625 0.579366 13.0218
64 1.5875 0.586179 13.4135
65 1.6125 0.589611 13.82
66 1.6375 0.62456 14.2641
67 1.6625 0.649378 14.7399
68 1.6875 0.681534 15.2546
69 1.7125 0.724924 15.8183
70 1.7375 0.767239 16.4324
71 1.7625 0.828064 17.1144
72 1.7875 0.875236 17.8559
73 1.8125 0.944593 18.6787
74 1.8375 1.00496 19.5785
75 1.8625 1.0546 20.5484
76 1.8875 1.10328 21.5907
77 1.9125 1.15366 22.7095
78 1.9375 1.16135 23.8654
79 1.9625 1.20466 25.0956
80 1.9875 1.23994 26.3944
81 2.0125 1.25147 27.7383
82 2.0375 1.26805 29.1341
83 2.0625 1.29104 30.5903
84 2.0875 1.28623 32.0765
85 2.1125 1.27612 33.5864
86 2.1375 1.25404 35.1057
87 2.1625 1.21989 36.6182
88 2.1875 1.17865 38.1137
89 2.2125 1.14581 39.6009
90 2.2375 1.11165 41.0765
91 2.2625 1.06894 42.5274
92 2.2875 1.01781 43.9395
93 2.3125 0.97653 45.3242
94 2.3375 0.943467 46.691
95 2.3625 0.921241 48.0544
96 2.3875 0.890635 49.4005
97 2.4125 0.869518 50.7424
98 2.4375 0.849266 52.0802
99 2.4625 0.823807 53.4048
100 2.4875 0.834821 54.7745
5000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
