SPPARKS (27 Nov 2024)
Created box = (0 0 -1.21) to (484 419.156 1.21)
  1 by 1 by 1 processor grid
Creating sites ...
  40000 sites
  40000 sites have 6 neighbors
Setting site values ...
  40000 settings made for site
Setting site values ...
  600 settings made for site
Setting site values ...
  400 settings made for site
Setting up run ...
Running with 32-bit site IDs
Memory usage per processor = 3.75 Mbytes
      Time    Naccept    Nreject    Nsweeps        CPU     Energy    Deposit  FailedDep    1stHops    2ndHops   Propnsty
6.50001e+12      95651          0          0       20.8          0      12149       1045      82457          0 1.27494e-08
6.60004e+12      97217          0          0       21.1          0      12340       1053      83824          0 1.81241e-08
   6.7e+12      99141          0          0       21.5          0      12485       1059      85597          0 1.81241e-08
6.80001e+12     100847          0          0       21.8          0      12714       1067      87066          0 1.81241e-08
6.90006e+12     102695          0          0       22.1          0      12911       1076      88708          0 1.18536e-08
7.00023e+12     104485          0          0       22.5          0      13097       1085      90303          0 1.54367e-08
7.10001e+12     105897          0          0       22.8          0      13290       1091      91516          0 1.4541e-08
7.20001e+12     107367          0          0       23.1          0      13498       1095      92774          0 1.00621e-08
7.30003e+12     109032          0          0       23.5          0      13717       1102      94213          0 1.99156e-08
7.40003e+12     110975          0          0       23.8          0      13906       1107      95962          0     0.6286
7.50003e+12     112570          0          0       24.1          0      14089       1112      97369          0   0.413084
   7.6e+12     114241          0          0       24.5          0      14290       1121      98830          0 2.17072e-08
7.70007e+12     116247          0          0       24.8          0      14493       1130     100624          0 1.4541e-08
7.80001e+12     118428          0          0       25.2          0      14700       1138     102590          0 2.17072e-08
7.90003e+12     120276          0          0       25.5          0      14882       1148     104246          0 1.99157e-08
8.00008e+12     122194          0          0       25.8          0      15072       1160     105962          0 2.17072e-08
8.10003e+12     124341          0          0       26.2          0      15267       1164     107910          0 2.97692e-08
8.2001e+12     126224          0          0       26.5          0      15439       1168     109617          0 1.90199e-08
8.30008e+12     127736          0          0       26.8          0      15622       1173     110941          0 1.09579e-08
8.40002e+12     129434          0          0       27.2          0      15812       1181     112441          0 1.36452e-08
8.50007e+12     130951          0          0       27.5          0      16018       1189     113744          0 1.09579e-08
   8.6e+12     132524          0          0       27.8          0      16223       1193     115108          0 1.81241e-08
8.70001e+12     134073          0          0       28.2          0      16431       1201     116441          0 1.72283e-08
8.80002e+12     135414          0          0       28.5          0      16622       1206     117586          0 3.4743e-08
8.90013e+12     136930          0          0       28.8          0      16824       1214     118892          0 3.20557e-08
9.00008e+12     138373          0          0       29.1          0      17028       1223     120122          0 1.36452e-08
9.10001e+12     139923          0          0       29.5          0      17217       1231     121475          0 1.00622e-08
   9.2e+12     141400          0          0       29.8          0      17400       1237     122763          0 1.4541e-08
9.30009e+12     143203          0          0       30.1          0      17593       1239     124371          0 9.1664e-09
9.40004e+12     144417          0          0       30.5          0      17789       1244     125384          0 1.09579e-08
9.5001e+12     145625          0          0       30.8          0      17990       1248     126387          0 1.54368e-08
9.60002e+12     147602          0          0       31.1          0      18191       1255     128156          0 1.72284e-08
9.70002e+12     149373          0          0       31.5          0      18386       1261     129726          0 1.45411e-08
9.80007e+12     150941          0          0       31.8          0      18568       1266     131107          0 1.81242e-08
9.90002e+12     152602          0          0       32.1          0      18745       1272     132585          0 1.81242e-08
     1e+13     154317          0          0       32.4          0      18929       1278     134110          0 1.00622e-08
Loop time of 32.4373 on 1 procs

Solve time (%) = 0.0487373 (0.150251)
Update time (%) = 0 (0)
Comm  time (%) = 0 (0)
Outpt time (%) = 17.4459 (53.7834)
App   time (%) = 14.9319 (46.033)
Other time (%) = 0.0108085 (0.0333212)
ERROR: Unrecognized command (../app_diffusion.cpp:258)
