# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 20
14 6.75 1.06667 38.7625
15 7.25 1.0556 48.3109
16 7.75 0.95959 58.2289
17 8.25 0.945694 69.3047
18 8.75 0.964555 82.0117
19 9.25 1.01287 96.9234
20 9.75 1.11458 115.154
48000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0.0286837 0.0078125
4 1.75 0.238617 0.134375
5 2.25 0.458328 0.535156
6 2.75 0.79293 1.56953
7 3.25 1.14662 3.65703
8 3.75 1.30346 6.81484
9 4.25 1.10932 10.2656
10 4.75 0.912204 13.8094
11 5.25 0.803654 17.6227
12 5.75 0.961763 23.0961
13 6.25 1.0837 30.382
14 6.75 1.06388 38.7242
15 7.25 1.04982 48.2203
16 7.75 0.964126 58.1852
17 8.25 0.957301 69.3969
18 8.75 0.965445 82.1156
19 9.25 1.01431 97.0484
20 9.75 1.10073 115.052
49000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0.0286837 0.0078125
4 1.75 0.250401 0.140625
5 2.25 0.480663 0.560937
6 2.75 0.797721 1.60156
7 3.25 1.12817 3.65547
8 3.75 1.29024 6.78125
9 4.25 1.1058 10.2211
10 4.75 0.91502 13.7758
11 5.25 0.819625 17.6648
12 5.75 0.959017 23.1227
13 6.25 1.09137 30.4602
14 6.75 1.0562 38.7422
15 7.25 1.04265 48.1734
16 7.75 0.965486 58.1523
17 8.25 0.959836 69.3937
18 8.75 0.970485 82.1789
19 9.25 1.01033 97.0531
20 9.75 1.09676 114.992
50000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0.0401571 0.0109375
4 1.75 0.247455 0.142187
5 2.25 0.527121 0.603125
6 2.75 0.780354 1.62109
7 3.25 1.11358 3.64844
8 3.75 1.2883 6.76953
9 4.25 1.08998 10.1602
10 4.75 0.931309 13.7781
11 5.25 0.829834 17.7156
12 5.75 0.960802 23.1836
13 6.25 1.08766 30.4961
14 6.75 1.04883 38.7203
15 7.25 1.03652 48.0961
16 7.75 0.96851 58.1063
17 8.25 0.963705 69.393
18 8.75 0.971375 82.1898
19 9.25 1.01102 97.0742
20 9.75 1.08936 114.892
51000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0.0573674 0.015625
4 1.75 0.250401 0.148438
5 2.25 0.586087 0.660937
6 2.75 0.757596 1.64922
7 3.25 1.09942 3.65078
8 3.75 1.2825 6.75781
9 4.25 1.07491 10.1016
10 4.75 0.936739 13.7406
11 5.25 0.848274 17.7656
12 5.75 0.95737 23.2141
13 6.25 1.08336 30.4977
14 6.75 1.04953 38.7273
15 7.25 1.03332 48.0742
16 7.75 0.970551 58.1055
17 8.25 0.969575 69.4609
18 8.75 0.967105 82.2016
19 9.25 1.01473 97.1406
20 9.75 1.08272 114.85
52000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0.0803143 0.021875
4 1.75 0.253347 0.15625
5 2.25 0.605743 0.685937
6 2.75 0.74981 1.66406
7 3.25 1.10242 3.67109
8 3.75 1.25864 6.72031
9 4.25 1.06838 10.0437
10 4.75 0.943174 13.7078
11 5.25 0.868855 17.8305
12 5.75 0.954899 23.2648
13 6.25 1.07766 30.5102
14 6.75 1.04634 38.7148
15 7.25 1.03565 48.0828
16 7.75 0.968207 58.0898
17 8.25 0.976713 69.5289
18 8.75 0.968825 82.2922
19 9.25 1.01452 97.2281
20 9.75 1.07398 114.795
53000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0.114735 0.03125
4 1.75 0.271022 0.175
5 2.25 0.61289 0.710938
6 2.75 0.740827 1.67734
7 3.25 1.10929 3.69687
8 3.75 1.22703 6.66953
9 4.25 1.07592 10.0164
10 4.75 0.945588 13.6898
11 5.25 0.882027 17.875
12 5.75 0.957645 23.325
13 6.25 1.07929 30.5813
14 6.75 1.03448 38.693
15 7.25 1.03755 48.0781
16 7.75 0.965789 58.0602
17 8.25 0.983316 69.5766
18 8.75 0.972086 82.3828
19 9.25 1.01813 97.3719
20 9.75 1.06371 114.77
54000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0.114735 0.03125
4 1.75 0.303427 0.192188
5 2.25 0.633439 0.746094
6 2.75 0.740827 1.7125
7 3.25 1.09084 3.69844
8 3.75 1.20639 6.62109
9 4.25 1.08973 10.0109
10 4.75 0.951822 13.7086
11 5.25 0.88565 17.9109
12 5.75 0.958468 23.3656
13 6.25 1.07592 30.5992
14 6.75 1.02631 38.6469
15 7.25 1.04066 48.0602
16 7.75 0.958683 57.9688
17 8.25 0.995057 69.6227
18 8.75 0.966927 82.3609
19 9.25 1.01914 97.3648
20 9.75 1.05889 114.684
55000 20
1 0.25 0 0
2 0.75 0 0
3 1.25 0.114735 0.03125
4 1.75 0.359399 0.221875
5 2.25 0.629865 0.772656
6 2.75 0.737832 1.73516
7 3.25 1.08011 3.70156
8 3.75 1.20478 6.62031
9 4.25 1.08496 9.99531
10 4.75 0.953833 13.7008
11 5.25 0.891742 17.932
12 5.75 0.966019 23.4297
13 6.25 1.05872 30.5477
14 6.75 1.02223 38.5633
15 7.25 1.04006 47.9711
16 7.75 0.961782 57.9117
17 8.25 0.995657 69.5727
