# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
50100 20
15 3.48 0.132628 2.375 0.118122 5.9875 1.31488 9.4
16 3.72 0 2.375 0.244841 6.26875 1.32486 12.4437
17 3.96 0 2.375 1.2196 7.85625 0.544979 13.8625
18 4.2 0 2.375 1.7843 10.4688 0.608283 15.6438
19 4.44 0.130381 2.475 0.798329 11.775 1.992 22.1625
20 4.68 0.601441 2.9875 0.556975 12.7875 2.55624 31.4563
52100 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.09098 0.5875
9 2.04 0 0 0 0 4.96237 4.01875
10 2.28 0.123525 0.025 0 0 1.93249 5.6875
11 2.52 1.71928 0.45 0.414807 0.21875 0.272588 5.975
12 2.76 3.75227 1.5625 2.62844 1.88125 0.0197627 6
13 3 1.4989 2.0875 3.6385 4.6 0.0418219 6.0625
14 3.24 0.336589 2.225 1.40564 5.825 0.462571 6.86875
15 3.48 0.318307 2.375 0.180291 6.00625 1.33353 9.55
16 3.72 0 2.375 0.152345 6.18125 1.2106 12.3313
17 3.96 0 2.375 1.36845 7.9625 0.57859 13.8375
18 4.2 0 2.375 1.81418 10.6188 0.723536 15.9563
19 4.44 0.0814881 2.4375 0.805969 11.9375 2.03593 22.6187
20 4.68 0.513425 2.875 0.581042 12.9938 2.41528 31.4
52200 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.07938 0.58125
9 2.04 0 0 0 0 5.06179 4.08125
10 2.28 0.0617626 0.0125 0 0 1.67917 5.53125
11 2.52 2.07325 0.525 0.734801 0.3875 0.32592 5.875
12 2.76 3.16203 1.4625 2.52962 1.9875 0.113635 6.01875
13 3 1.24908 1.9 3.32066 4.46875 0.046004 6.0875
14 3.24 0.856773 2.25 1.46302 5.74375 0.451814 6.875
15 3.48 0.265256 2.375 0.217593 5.9625 1.29002 9.46875
16 3.72 0 2.375 0.288368 6.29375 1.22692 12.2875
17 3.96 0 2.375 1.31563 8.00625 0.621805 13.9062
18 4.2 0 2.375 1.76722 10.5938 0.764089 16.1438
19 4.44 0.0977858 2.45 0.668457 11.6875 1.98245 22.6313
20 4.68 0.689457 3.0375 0.694499 12.95 2.36027 31.2125
52300 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.11419 0.6
9 2.04 0 0 0 0 5.07987 4.1125
10 2.28 0.308813 0.0625 0 0 1.60679 5.5
11 2.52 1.76984 0.5 0.557027 0.29375 0.385178 5.90625
12 2.76 2.6561 1.2875 2.332 1.76875 0.0543473 5.975
13 3 1.39183 1.775 3.70542 4.5375 0.0543684 6.05625
14 3.24 1.25456 2.2875 1.41281 5.76875 0.527116 6.975
15 3.48 0.185679 2.375 0.217593 5.9875 1.22163 9.43125
16 3.72 0 2.375 0.184991 6.2 1.24325 12.2875
17 3.96 0 2.375 1.43087 8.0625 0.624205 13.9125
18 4.2 0 2.375 1.65197 10.4812 0.646701 15.8063
19 4.44 0.0651905 2.425 0.771591 11.7438 1.95381 22.2
20 4.68 0.557433 2.9 0.660118 12.9437 2.51154 31.3313
52400 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.26507 0.68125
9 2.04 0 0 0 0 5.07083 4.1875
10 2.28 0 0 0 0 1.71536 5.66875
11 2.52 1.87098 0.4625 0.414807 0.21875 0.302217 5.9875
12 2.76 2.19234 1.1125 2.68772 1.91875 0.00988134 6
13 3 1.99853 1.8125 3.74724 4.71875 0.0585506 6.0875
14 3.24 1.19336 2.3 1.30524 5.85625 0.376511 6.74375
15 3.48 0.132628 2.3625 0.14299 6 1.37084 9.5
16 3.72 0.0232145 2.375 0.174109 6.2 1.29221 12.4688
17 3.96 0 2.375 1.40206 8.025 0.540178 13.875
18 4.2 0 2.375 1.84406 10.725 0.678716 15.8625
19 4.44 0.0162976 2.3875 0.699016 11.8688 1.94235 22.2188
20 4.68 0.572102 2.875 0.605108 12.9688 2.53561 31.4375
52500 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
5 1.08 0 0 0 0 0 0
6 1.32 0 0 0 0 0 0
7 1.56 0 0 0 0 0 0
8 1.8 0 0 0 0 1.24186 0.66875
9 2.04 0 0 0 0 4.82678 4.00625
10 2.28 0.0617626 0.0125 0 0 1.93973 5.68125
11 2.52 1.21361 0.3125 0.462214 0.24375 0.248884 5.94375
12 2.76 2.82474 1.15 2.50986 1.83125 0.044466 6
13 3 1.92715 1.825 3.93125 4.76875 0.0501862 6.075
14 3.24 1.31576 2.3625 1.25504 5.8625 0.433885 6.83125
15 3.48 0.0265256 2.375 0.136773 6 1.37084 9.5875
16 3.72 0 2.375 0.174109 6.2 1.26773 12.5
17 3.96 0 2.375 1.36365 7.975 0.492162 13.7812
18 4.2 0 2.375 1.95077 10.8313 0.668044 15.7375
19 4.44 0 2.375 0.580603 11.7812 1.95763 22.1438
20 4.68 0.586772 2.875 0.505403 12.7 2.61297 31.6438
52600 20
1 0.12 0 0 0 0 0 0
2 0.36 0 0 0 0 0 0
3 0.6 0 0 0 0 0 0
4 0.84 0 0 0 0 0 0
