DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (42.08 42.08 42.08)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2048 atoms
  read_data CPU = 0.031 seconds
2048 atoms in group Ar
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 31 31 31
  2 neighbor lists, perpetual/occasional/extra = 1 1 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
  (2) compute rdf, occasional, copy from (1)
      attributes: half, newton on
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.662 | 3.662 | 3.662 Mbytes
   Step          Temp          Press          Volume         TotEng        c_MSD[4]     v_MSD_Slope  
     19200   1.5102905      5.1936146      2435.1811     -2.5733503      275.13453      0.14198857   
     19300   1.5332532      4.9764787      2433.6091     -2.5921099      275.69187      0.14151204   
     19400   1.4578801      4.7481726      2454.7231     -2.6664549      275.81457      0.14105922   
     19500   1.4560757      5.051936       2441.5517     -2.6544819      276.3549       0.14061461   
     19600   1.5015773      5.1212492      2427.129      -2.626893       276.91255      0.14018923   
     19700   1.4847255      5.2572714      2426.3219     -2.6210781      277.29216      0.13977523   
     19800   1.4822392      5.0244121      2437.1862     -2.6357434      277.13258      0.13935746   
     19900   1.485439       5.0702549      2436.9798     -2.6136834      277.7821       0.13893922   
     20000   1.4636102      5.044266       2448.1381     -2.6126511      278.04691      0.13854129   
Loop time of 109.566 on 1 procs for 20000 steps with 2048 atoms

Performance: 78856.572 tau/day, 182.538 timesteps/s, 373.839 katom-step/s
99.9% CPU use with 1 MPI tasks x 1 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 82.22      | 82.22      | 82.22      |   0.0 | 75.04
Neigh   | 20.507     | 20.507     | 20.507     |   0.0 | 18.72
Comm    | 1.6023     | 1.6023     | 1.6023     |   0.0 |  1.46
Output  | 0.044479   | 0.044479   | 0.044479   |   0.0 |  0.04
Modify  | 4.5881     | 4.5881     | 4.5881     |   0.0 |  4.19
Other   |            | 0.6044     |            |       |  0.55

Nlocal:           2048 ave        2048 max        2048 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:           3744 ave        3744 max        3744 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:          76801 ave       76801 max       76801 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 76801
Ave neighs/atom = 37.500488
Neighbor list builds = 3536
Dangerous builds = 76
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 20000
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 4.137 | 4.137 | 4.137 Mbytes
   Step          Temp          Press          Volume         TotEng        c_MSD[4]     v_MSD_Slope  
     20000   1.4636102      5.044266       2448.1381     -2.6126511      278.04691      3.3333333e+21
     20100   1.5043292      4.8716221      2448.1381     -2.6123284      278.31164      0.10638029   
     20200   1.4791878      4.9677809      2448.1381     -2.6135001      278.62037      0.049121897  
     20300   1.492769       4.9228628      2448.1381     -2.6118364      278.63962      0.071910977  
     20400   1.5013368      4.8392267      2448.1381     -2.6129171      278.97743      0.067609187  
     20500   1.4879022      4.9040457      2448.1381     -2.6129058      279.09115      0.069512502  
     20600   1.4733465      5.0449415      2448.1381     -2.6125042      279.37132      0.068851111  
     20700   1.5039696      4.8180365      2448.1381     -2.6131698      279.54556      0.071032867  
     20800   1.5005804      4.8526984      2448.1381     -2.6129669      279.68885      0.068962605  
     20900   1.4579458      5.1254261      2448.1381     -2.6127827      279.82627      0.067081437  
     21000   1.4993565      4.8563363      2448.1381     -2.6129774      279.81716      0.064536608  
     21100   1.4666869      5.0419599      2448.1381     -2.6123823      280.28294      0.062427777  
     21200   1.4603806      5.1186173      2448.1381     -2.6114256      280.60551      0.066249435  
     21300   1.4999186      4.8809758      2448.1381     -2.6128424      281.17063      0.07065006   
     21400   1.4831371      4.9253628      2448.1381     -2.6128723      281.31591      0.072929395  
     21500   1.4793818      5.0080036      2448.1381     -2.6127958      281.48092      0.074729277  
     21600   1.4968553      4.909453       2448.1381     -2.6122943      281.7673       0.075964156  
     21700   1.5086496      4.8516904      2448.1381     -2.6120896      282.29074      0.077495528  
     21800   1.4518229      5.1546766      2448.1381     -2.6131037      282.50943      0.079691789  
     21900   1.4704977      5.0656261      2448.1381     -2.6115483      283.00829      0.082406925  
     22000   1.5039235      4.9005514      2448.1381     -2.6135874      283.47412      0.085007951  
     22100   1.4944781      4.8881922      2448.1381     -2.6136433      283.48217      0.0871586    
     22200   1.4731342      5.0054337      2448.1381     -2.6127246      283.67721      0.087773205  
     22300   1.5113848      4.7540853      2448.1381     -2.6138027      283.65371      0.087715472  
     22400   1.4698877      5.06342        2448.1381     -2.6120045      283.94999      0.087324217  
     22500   1.4798391      4.9163233      2448.1381     -2.6122777      284.56748      0.087625255  
     22600   1.4855059      4.9745368      2448.1381     -2.6125873      284.94674      0.088567398  
     22700   1.5237745      4.7151133      2448.1381     -2.6132402      285.1696       0.089415273  
     22800   1.514715       4.7938777      2448.1381     -2.6125018      285.87157      0.09045034   
     22900   1.4744589      5.0275715      2448.1381     -2.6121181      286.33717      0.091874324  
     23000   1.501503       4.8879102      2448.1381     -2.6119131      286.77965      0.093683677  
     23100   1.49416        4.8572766      2448.1381     -2.6125618      287.19737      0.09528205   
     23200   1.4695222      5.0061511      2448.1381     -2.6117263      287.46955      0.096640549  
     23300   1.480695       4.9797677      2448.1381     -2.6122925      287.76323      0.097980646  
     23400   1.4871971      4.9495886      2448.1381     -2.6120486      288.30247      0.099130839  
     23500   1.4960207      4.8641133      2448.1381     -2.6121341      288.29303      0.10004861   
     23600   1.5004651      4.8682321      2448.1381     -2.6138428      288.39965      0.10048631   
     23700   1.5160198      4.7326958      2448.1381     -2.6132351      288.87011      0.10091854   
     23800   1.4841986      4.967652       2448.1381     -2.611084       289.05871      0.10126327   
     23900   1.4856202      4.9441186      2448.1381     -2.6141873      289.73097      0.10174681   
     24000   1.4905714      4.8640085      2448.1381     -2.6123992      289.74262      0.10205676   
     24100   1.4838133      4.9033055      2448.1381     -2.6137339      290.08757      0.10230306   
     24200   1.4556809      5.1040012      2448.1381     -2.6129375      290.65716      0.10275218   
     24300   1.4800842      4.9605071      2448.1381     -2.6117535      291.03439      0.1031646    
     24400   1.5019448      4.8699968      2448.1381     -2.6132507      291.30672      0.10356085   
     24500   1.4803745      5.0032849      2448.1381     -2.6138144      291.93713      0.10404076   
     24600   1.4749112      4.9894551      2448.1381     -2.6126991      291.91334      0.10445355   
     24700   1.4910464      4.9330678      2448.1381     -2.6132957      292.60938      0.1048632    
     24800   1.4680452      5.0592992      2448.1381     -2.6125113      293.26801      0.10555176   
     24900   1.4780225      4.9878856      2448.1381     -2.6124066      293.49665      0.10625249   
     25000   1.4868377      4.9979362      2448.1381     -2.6128425      293.9115       0.10689398   
     25100   1.4861015      4.9170894      2448.1381     -2.6112115      293.94573      0.10740765   
     25200   1.5012372      4.8510657      2448.1381     -2.6124766      294.08563      0.10757554   
     25300   1.4840309      5.062421       2448.1381     -2.6113253      294.54491      0.10776275   
     25400   1.4935979      4.9229235      2448.1381     -2.6123904      294.65991      0.10794314   
     25500   1.485725       4.946915       2448.1381     -2.6124727      295.24029      0.10810135   
     25600   1.4942582      4.8867293      2448.1381     -2.6135616      295.36546      0.10828805   
     25700   1.5137308      4.774458       2448.1381     -2.6122287      296.0841       0.10846186   
     25800   1.4849899      4.9736451      2448.1381     -2.6123216      296.65286      0.10875733   
     25900   1.4916319      4.8888779      2448.1381     -2.6127424      297.04629      0.10923155   
     26000   1.4667241      5.058399       2448.1381     -2.6130709      297.4818       0.109705     
     26100   1.497647       4.9330529      2448.1381     -2.6122103      297.8404       0.11016607   
     26200   1.4876751      4.9616795      2448.1381     -2.612406       298.01115      0.11050874   
     26300   1.4863153      4.8887832      2448.1381     -2.6130306      298.15986      0.11077566   
     26400   1.4914603      4.9274322      2448.1381     -2.6127141      298.2978       0.11086202   
     26500   1.474269       5.0408185      2448.1381     -2.6126611      298.47755      0.11090301   
     26600   1.476676       4.9864905      2448.1381     -2.6125992      298.66292      0.1108189    
     26700   1.4904059      4.8968005      2448.1381     -2.6135962      298.68195      0.11071708   
     26800   1.4944945      4.8745599      2448.1381     -2.6123848      298.84687      0.11047074   
     26900   1.4832586      4.963319       2448.1381     -2.6130065      298.99807      0.11021921   
     27000   1.4523344      5.1999714      2448.1381     -2.6124774      299.43451      0.10994135   
     27100   1.4683307      5.0727943      2448.1381     -2.6126538      299.5032       0.10965355   
     27200   1.4878273      4.9743886      2448.1381     -2.6123016      299.79904      0.1093619    
     27300   1.4920457      4.9165433      2448.1381     -2.6129128      299.99403      0.10907459   
     27400   1.5102032      4.8196256      2448.1381     -2.6136529      300.32612      0.10874099   
     27500   1.4794421      4.9751232      2448.1381     -2.6123955      300.27947      0.10840583   
     27600   1.4934092      4.9046521      2448.1381     -2.6129805      300.63362      0.10801892   
     27700   1.4724961      5.0747378      2448.1381     -2.6112748      301.26736      0.10770187   
     27800   1.5016107      4.8601691      2448.1381     -2.6106169      301.91695      0.10758085   
