DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (35.36 35.36 35.36)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2048 atoms
  read_data CPU = 0.062 seconds
2048 atoms in group Ne
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 26 26 26
  2 neighbor lists, perpetual/occasional/extra = 1 1 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
  (2) compute rdf, occasional, copy from (1)
      attributes: half, newton on
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.598 | 3.598 | 3.598 Mbytes
   Step          Temp          Press          Volume         TotEng        c_MSD[4]     v_MSD_Slope  
     17500   1.4798654      5.1045402      2439.5718     -2.6087777      183.83526      0.13215959   
     17600   1.5046921      4.9963334      2440.9493     -2.607592       184.19441      0.13174203   
     17700   1.5034571      4.9611988      2443.0652     -2.6023093      184.59816      0.13134032   
     17800   1.4867739      5.1415871      2442.1415     -2.5874418      184.8362       0.13095574   
     17900   1.487043       4.9438163      2451.7483     -2.5981332      185.21101      0.13057241   
     18000   1.5245816      5.0410497      2441.2652     -2.5692485      185.45117      0.13019308   
     18100   1.5214047      5.6940322      2419.314      -2.5146138      185.80647      0.12982688   
     18200   1.5204731      5.0459589      2442.0487     -2.5749275      185.88149      0.12945869   
     18300   1.5026829      4.7406958      2456.046      -2.6106736      185.8934       0.12908171   
     18400   1.4850528      4.8849877      2453.371      -2.6115466      186.28792      0.1287126    
     18500   1.5195039      5.0250201      2437.2002     -2.5809859      186.29928      0.12834063   
     18600   1.5047532      4.92926        2442.0223     -2.60914        186.76619      0.12797419   
     18700   1.5123726      5.1159859      2431.0552     -2.6008885      187.12544      0.12761945   
     18800   1.4786334      4.7699125      2449.6416     -2.6550906      187.34464      0.1272762    
     18900   1.4477056      5.1037263      2444.4775     -2.6464834      187.78894      0.12693087   
