# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
1000 50
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0108647 0.00439453
19 0.925 0.284693 0.133008
20 0.975 1.33499 0.802832
21 1.025 2.27895 2.0666
22 1.075 2.46897 3.57256
23 1.125 2.18068 5.0293
24 1.175 1.74899 6.30381
25 1.225 1.41153 7.42168
26 1.275 1.12187 8.38408
27 1.325 0.940075 9.25498
28 1.375 0.814295 10.0675
29 1.425 0.737934 10.8583
30 1.475 0.704922 11.6677
31 1.525 0.671736 12.4921
32 1.575 0.67427 13.3747
33 1.625 0.720762 14.3791
34 1.675 0.739876 15.4746
35 1.725 0.816076 16.7563
36 1.775 0.888375 18.2333
37 1.825 0.975944 19.9487
38 1.875 1.06625 21.927
39 1.925 1.11812 24.1136
40 1.975 1.19126 26.5659
41 2.025 1.21196 29.1886
42 2.075 1.19842 31.9115
43 2.125 1.17837 34.7195
44 2.175 1.12976 37.54
45 2.225 1.0534 40.2921
46 2.275 1.02406 43.0892
47 2.325 0.971384 45.8601
48 2.375 0.929224 48.626
49 2.425 0.907213 51.4414
50 2.475 0.888805 54.3145
8000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0108988 0.00439453
19 0.925 0.291215 0.135547
20 0.975 1.31693 0.794434
21 1.025 2.30437 2.06865
22 1.075 2.49371 3.58545
23 1.125 2.15208 5.01885
24 1.175 1.7205 6.26885
25 1.225 1.38386 7.36162
26 1.275 1.14327 8.33965
27 1.325 0.951781 9.21895
28 1.375 0.835441 10.0501
29 1.425 0.735226 10.8357
30 1.475 0.701111 11.6384
31 1.525 0.678315 12.4686
32 1.575 0.682401 13.3593
33 1.625 0.705992 14.3403
34 1.675 0.750744 15.4487
35 1.725 0.808659 16.7149
36 1.775 0.903126 18.2124
37 1.825 0.969233 19.9111
38 1.875 1.05052 21.8546
39 1.925 1.12963 24.0574
40 1.975 1.1687 26.4563
41 2.025 1.21618 29.0807
42 2.075 1.21821 31.8406
43 2.125 1.17084 34.6227
44 2.175 1.1222 37.416
45 2.225 1.07 40.2036
46 2.275 1.00683 42.9455
47 2.325 0.959152 45.6737
48 2.375 0.929684 48.433
49 2.425 0.911648 51.2539
50 2.475 0.902916 54.1644
9000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00799308 0.00322266
19 0.925 0.292078 0.134766
20 0.975 1.32825 0.799316
21 1.025 2.27247 2.05596
